Date,Year,Month,Day,Year-month,Financial Year
01/01/2016,2016,01,01,2016-01,FY16
02/01/2016,2016,01,02,2016-01,FY16
03/01/2016,2016,01,03,2016-01,FY16
04/01/2016,2016,01,04,2016-01,FY16
05/01/2016,2016,01,05,2016-01,FY16
06/01/2016,2016,01,06,2016-01,FY16
07/01/2016,2016,01,07,2016-01,FY16
08/01/2016,2016,01,08,2016-01,FY16
09/01/2016,2016,01,09,2016-01,FY16
10/01/2016,2016,01,10,2016-01,FY16
11/01/2016,2016,01,11,2016-01,FY16
12/01/2016,2016,01,12,2016-01,FY16
13/01/2016,2016,01,13,2016-01,FY16
14/01/2016,2016,01,14,2016-01,FY16
15/01/2016,2016,01,15,2016-01,FY16
16/01/2016,2016,01,16,2016-01,FY16
17/01/2016,2016,01,17,2016-01,FY16
18/01/2016,2016,01,18,2016-01,FY16
19/01/2016,2016,01,19,2016-01,FY16
20/01/2016,2016,01,20,2016-01,FY16
21/01/2016,2016,01,21,2016-01,FY16
22/01/2016,2016,01,22,2016-01,FY16
23/01/2016,2016,01,23,2016-01,FY16
24/01/2016,2016,01,24,2016-01,FY16
25/01/2016,2016,01,25,2016-01,FY16
26/01/2016,2016,01,26,2016-01,FY16
27/01/2016,2016,01,27,2016-01,FY16
28/01/2016,2016,01,28,2016-01,FY16
29/01/2016,2016,01,29,2016-01,FY16
30/01/2016,2016,01,30,2016-01,FY16
31/01/2016,2016,01,31,2016-01,FY16
01/02/2016,2016,02,01,2016-02,FY16
02/02/2016,2016,02,02,2016-02,FY16
03/02/2016,2016,02,03,2016-02,FY16
04/02/2016,2016,02,04,2016-02,FY16
05/02/2016,2016,02,05,2016-02,FY16
06/02/2016,2016,02,06,2016-02,FY16
07/02/2016,2016,02,07,2016-02,FY16
08/02/2016,2016,02,08,2016-02,FY16
09/02/2016,2016,02,09,2016-02,FY16
10/02/2016,2016,02,10,2016-02,FY16
11/02/2016,2016,02,11,2016-02,FY16
12/02/2016,2016,02,12,2016-02,FY16
13/02/2016,2016,02,13,2016-02,FY16
14/02/2016,2016,02,14,2016-02,FY16
15/02/2016,2016,02,15,2016-02,FY16
16/02/2016,2016,02,16,2016-02,FY16
17/02/2016,2016,02,17,2016-02,FY16
18/02/2016,2016,02,18,2016-02,FY16
19/02/2016,2016,02,19,2016-02,FY16
20/02/2016,2016,02,20,2016-02,FY16
21/02/2016,2016,02,21,2016-02,FY16
22/02/2016,2016,02,22,2016-02,FY16
23/02/2016,2016,02,23,2016-02,FY16
24/02/2016,2016,02,24,2016-02,FY16
25/02/2016,2016,02,25,2016-02,FY16
26/02/2016,2016,02,26,2016-02,FY16
27/02/2016,2016,02,27,2016-02,FY16
28/02/2016,2016,02,28,2016-02,FY16
29/02/2016,2016,02,29,2016-02,FY16
01/03/2016,2016,03,01,2016-03,FY16
02/03/2016,2016,03,02,2016-03,FY16
03/03/2016,2016,03,03,2016-03,FY16
04/03/2016,2016,03,04,2016-03,FY16
05/03/2016,2016,03,05,2016-03,FY16
06/03/2016,2016,03,06,2016-03,FY16
07/03/2016,2016,03,07,2016-03,FY16
08/03/2016,2016,03,08,2016-03,FY16
09/03/2016,2016,03,09,2016-03,FY16
10/03/2016,2016,03,10,2016-03,FY16
11/03/2016,2016,03,11,2016-03,FY16
12/03/2016,2016,03,12,2016-03,FY16
13/03/2016,2016,03,13,2016-03,FY16
14/03/2016,2016,03,14,2016-03,FY16
15/03/2016,2016,03,15,2016-03,FY16
16/03/2016,2016,03,16,2016-03,FY16
17/03/2016,2016,03,17,2016-03,FY16
18/03/2016,2016,03,18,2016-03,FY16
19/03/2016,2016,03,19,2016-03,FY16
20/03/2016,2016,03,20,2016-03,FY16
21/03/2016,2016,03,21,2016-03,FY16
22/03/2016,2016,03,22,2016-03,FY16
23/03/2016,2016,03,23,2016-03,FY16
24/03/2016,2016,03,24,2016-03,FY16
25/03/2016,2016,03,25,2016-03,FY16
26/03/2016,2016,03,26,2016-03,FY16
27/03/2016,2016,03,27,2016-03,FY16
28/03/2016,2016,03,28,2016-03,FY16
29/03/2016,2016,03,29,2016-03,FY16
30/03/2016,2016,03,30,2016-03,FY16
31/03/2016,2016,03,31,2016-03,FY16
01/04/2016,2016,04,01,2016-04,FY16
02/04/2016,2016,04,02,2016-04,FY16
03/04/2016,2016,04,03,2016-04,FY16
04/04/2016,2016,04,04,2016-04,FY16
05/04/2016,2016,04,05,2016-04,FY16
06/04/2016,2016,04,06,2016-04,FY17
07/04/2016,2016,04,07,2016-04,FY17
08/04/2016,2016,04,08,2016-04,FY17
09/04/2016,2016,04,09,2016-04,FY17
10/04/2016,2016,04,10,2016-04,FY17
11/04/2016,2016,04,11,2016-04,FY17
12/04/2016,2016,04,12,2016-04,FY17
13/04/2016,2016,04,13,2016-04,FY17
14/04/2016,2016,04,14,2016-04,FY17
15/04/2016,2016,04,15,2016-04,FY17
16/04/2016,2016,04,16,2016-04,FY17
17/04/2016,2016,04,17,2016-04,FY17
18/04/2016,2016,04,18,2016-04,FY17
19/04/2016,2016,04,19,2016-04,FY17
20/04/2016,2016,04,20,2016-04,FY17
21/04/2016,2016,04,21,2016-04,FY17
22/04/2016,2016,04,22,2016-04,FY17
23/04/2016,2016,04,23,2016-04,FY17
24/04/2016,2016,04,24,2016-04,FY17
25/04/2016,2016,04,25,2016-04,FY17
26/04/2016,2016,04,26,2016-04,FY17
27/04/2016,2016,04,27,2016-04,FY17
28/04/2016,2016,04,28,2016-04,FY17
29/04/2016,2016,04,29,2016-04,FY17
30/04/2016,2016,04,30,2016-04,FY17
01/05/2016,2016,05,01,2016-05,FY17
02/05/2016,2016,05,02,2016-05,FY17
03/05/2016,2016,05,03,2016-05,FY17
04/05/2016,2016,05,04,2016-05,FY17
05/05/2016,2016,05,05,2016-05,FY17
06/05/2016,2016,05,06,2016-05,FY17
07/05/2016,2016,05,07,2016-05,FY17
08/05/2016,2016,05,08,2016-05,FY17
09/05/2016,2016,05,09,2016-05,FY17
10/05/2016,2016,05,10,2016-05,FY17
11/05/2016,2016,05,11,2016-05,FY17
12/05/2016,2016,05,12,2016-05,FY17
13/05/2016,2016,05,13,2016-05,FY17
14/05/2016,2016,05,14,2016-05,FY17
15/05/2016,2016,05,15,2016-05,FY17
16/05/2016,2016,05,16,2016-05,FY17
17/05/2016,2016,05,17,2016-05,FY17
18/05/2016,2016,05,18,2016-05,FY17
19/05/2016,2016,05,19,2016-05,FY17
20/05/2016,2016,05,20,2016-05,FY17
21/05/2016,2016,05,21,2016-05,FY17
22/05/2016,2016,05,22,2016-05,FY17
23/05/2016,2016,05,23,2016-05,FY17
24/05/2016,2016,05,24,2016-05,FY17
25/05/2016,2016,05,25,2016-05,FY17
26/05/2016,2016,05,26,2016-05,FY17
27/05/2016,2016,05,27,2016-05,FY17
28/05/2016,2016,05,28,2016-05,FY17
29/05/2016,2016,05,29,2016-05,FY17
30/05/2016,2016,05,30,2016-05,FY17
31/05/2016,2016,05,31,2016-05,FY17
01/06/2016,2016,06,01,2016-06,FY17
02/06/2016,2016,06,02,2016-06,FY17
03/06/2016,2016,06,03,2016-06,FY17
04/06/2016,2016,06,04,2016-06,FY17
05/06/2016,2016,06,05,2016-06,FY17
06/06/2016,2016,06,06,2016-06,FY17
07/06/2016,2016,06,07,2016-06,FY17
08/06/2016,2016,06,08,2016-06,FY17
09/06/2016,2016,06,09,2016-06,FY17
10/06/2016,2016,06,10,2016-06,FY17
11/06/2016,2016,06,11,2016-06,FY17
12/06/2016,2016,06,12,2016-06,FY17
